molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL115391,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1c(Cl)cc(Cl)cc1Cl,13000.0,inactive
CHEMBL115087,COc1ccc(C(=O)N(Cc2cccc(Br)c2)[C@@H](Cc2ccccc2)C(=O)O)c(OC)c1,10700.0,intermediate
CHEMBL112293,Cc1cc(Cl)ccc1C(=O)N(Cc1cccc(Br)c1)[C@@H](Cc1ccccc1)C(=O)O,3700.0,intermediate
CHEMBL115610,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1ccc(Cl)cc1Br,5000.0,intermediate
CHEMBL323981,Cc1ccc(C(=O)N(Cc2cccc(Br)c2)[C@@H](Cc2ccccc2)C(=O)O)c(C)c1,5900.0,inactive
CHEMBL111777,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)Cc1ccc(Cl)cc1Cl,26000.0,inactive
CHEMBL320795,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1ccccc1,50000.0,intermediate
CHEMBL325126,CCc1cc(Cl)ccc1C(=O)N(Cc1cccc(Br)c1)[C@@H](Cc1ccccc1)C(=O)O,5600.0,inactive
CHEMBL112469,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1cccc(Cl)c1,30000.0,inactive
CHEMBL26052,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1ccc(Cl)cc1,10600.0,inactive
CHEMBL113973,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)c1ccc(Cl)cc1Cl,15000.0,intermediate
CHEMBL114988,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1ccc(Cl)cc1I,2700.0,inactive
CHEMBL326939,COc1cc(Cl)ccc1C(=O)N(Cc1cccc(Br)c1)[C@@H](Cc1ccccc1)C(=O)O,11000.0,inactive
CHEMBL113119,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)S(=O)(=O)c1ccc(Cl)cc1Cl,31000.0,active
CHEMBL353549,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,1000.0,inactive
CHEMBL368589,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)N4CCC(O)CC4)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,10000.0,inactive
CHEMBL178076,COc1ccc(CCNC(=O)c2ccc3c(c2)nc(-c2ccccn2)n3C2CCCCC2)cc1OC,12000.0,active
CHEMBL176058,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,800.0,intermediate
CHEMBL174683,O=C(O)c1ccc2c(c1)nc(-c1ccccn1)n2C1CCCCC1,4300.0,intermediate
CHEMBL19332,O=C(O)C(=O)CC(=O)c1ccccc1,5700.0,active
CHEMBL175882,O=C(NCc1ccccc1Cl)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,100.0,active
CHEMBL446360,N#Cc1ccc(Br)cc1Oc1ccccc1C(=O)CC(=O)C(=O)O,350.0,active
CHEMBL175894,N#Cc1ccc(Br)cc1-c1cccc(C(=O)CC(=O)C(=O)O)c1,100.0,active
